,Test,Die,VDD (V),,,,Id1 (mA),Id2 ( mA),Freq (GHz),Pin (dBm),,Pin (dBm),,Pout (dBm),Gain (dB),,,,,,,,,,,
694255,POW1,AB10,4,#,#,#,40.7,91.26,18,-7,#,-7.0185,#,13.641,20.641,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.67,99.95,6,-6,#,-6.044188,#,15.862,21.862,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.1,96.38,9,-6,#,-6.048625,#,15.373,21.373,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.8,94.82,12,-6,#,-6.049875,#,15.639,21.639,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.7,93.93,15,-6,#,-6.049625,#,15.984,21.984,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.7,91.85,18,-6,#,-6.0115,#,14.573,20.573,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.72,100.97,6,-5,#,-5.051188,#,16.149,21.149,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.19,97.71,9,-5,#,-5.059625,#,15.993,20.993,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.83,96.1,12,-5,#,-5.077875,#,16.28,21.28,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.73,94.92,15,-5,#,-5.058625,#,16.638,21.638,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.69,92.57,18,-5,#,-5.0205,#,15.472,20.472,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.58,101.75,6,-4,#,-4.040188,#,16.218,20.218,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.33,98.81,9,-4,#,-4.064625,#,16.473,20.473,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.89,97.87,12,-4,#,-4.064875,#,16.788,20.788,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.74,96.32,15,-4,#,-4.067625,#,17.155,21.155,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.73,93.45,18,-4,#,-4.0175,#,16.309,20.309,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.02,102.18,6,-3,#,-3.006188,#,16.193,19.193,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.45,99.47,9,-3,#,-3.042625,#,16.821,19.821,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.93,100.1,12,-3,#,-3.036875,#,17.166,20.166,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.79,98.19,15,-3,#,-3.059625,#,17.565,20.565,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.71,94.7,18,-3,#,-3.0305,#,16.999,19.999,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.18,102.04,6,-2,#,-1.983188,#,16.241,18.241,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.67,99.62,9,-2,#,-2.037625,#,17.071,19.071,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41,102.56,12,-2,#,-2.036875,#,17.451,19.451,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.79,100.38,15,-2,#,-2.044625,#,17.899,19.899,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.78,96.37,18,-2,#,-2.0105,#,17.585,19.585,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,39.08,101.1,6,-1,#,-0.951188,#,16.45,17.45,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.93,99.36,9,-1,#,-1.032625,#,17.259,18.259,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.15,104.89,12,-1,#,-1.045875,#,17.665,18.665,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.86,102.83,15,-1,#,-1.043625,#,18.179,19.179,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.8,98.27,18,-1,#,-1.0095,#,18.074,19.074,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,37.76,99.02,6,0,#,0.129812,#,16.761,16.761,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,42.27,98.56,9,0,#,-0.006625,#,17.41,17.41,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.29,107.13,12,0,#,-0.038875,#,17.815,17.815,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.92,105.67,15,0,#,-0.040625,#,18.399,18.399,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.84,100.41,18,0,#,-0.0085,#,18.489,18.489,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,36.35,96.66,6,1,#,1.167812,#,17.033,16.033,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,42.65,97.17,9,1,#,1.013375,#,17.542,16.542,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.53,109.28,12,1,#,0.989125,#,17.929,16.929,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.02,108.99,15,1,#,0.968375,#,18.59,17.59,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.9,102.93,18,1,#,1.0115,#,18.824,17.824,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,34.77,94.8,6,2,#,2.181812,#,17.219,15.219,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,43.07,95.32,9,2,#,2.026375,#,17.651,15.651,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.8,111.38,12,2,#,1.998125,#,18.021,16.021,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.14,112.52,15,2,#,1.982375,#,18.749,16.749,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.96,105.92,18,2,#,2.0365,#,19.094,17.094,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.65,89.51,6,-13,#,-13.01719,#,10.164,23.164,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.6,88.5,9,-13,#,-12.97162,#,9.047,22.047,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.52,88.39,12,-13,#,-13.02487,#,9.273,22.273,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.45,88.23,15,-13,#,-13.04062,#,9.561,22.561,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.39,87.68,18,-13,#,-13.0085,#,7.746,20.746,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.75,90.19,6,-12,#,-12.00619,#,11.129,23.129,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.55,88.95,9,-12,#,-11.96762,#,10.035,22.035,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.48,88.7,12,-12,#,-11.96587,#,10.303,22.303,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.44,88.48,15,-12,#,-12.02662,#,10.553,22.553,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.42,87.79,18,-12,#,-12.0005,#,8.749,20.749,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.83,91.05,6,-11,#,-11.01119,#,12.081,23.081,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.57,89.47,9,-11,#,-10.97362,#,10.995,21.995,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.49,89.09,12,-11,#,-10.97787,#,11.254,22.254,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.42,88.82,15,-11,#,-11.04662,#,11.495,22.495,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.43,88.01,18,-11,#,-10.9945,#,9.725,20.725,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.9,92.03,6,-10,#,-10.04319,#,12.974,22.974,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.59,90.07,9,-10,#,-10.03562,#,11.886,21.886,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.49,89.53,12,-10,#,-10.02787,#,12.143,22.143,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.45,89.24,15,-10,#,-10.05763,#,12.431,22.431,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.39,88.21,18,-10,#,-9.9985,#,10.702,20.702,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41,93.31,6,-9,#,-9.038188,#,13.872,22.872,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.65,90.83,9,-9,#,-9.032625,#,12.834,21.834,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.49,90.15,12,-9,#,-9.024875,#,13.086,22.086,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.43,89.72,15,-9,#,-9.044625,#,13.374,22.374,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.4,88.53,18,-9,#,-8.9985,#,11.68,20.68,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.11,94.78,6,-8,#,-8.039188,#,14.689,22.689,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.71,91.76,9,-8,#,-8.045625,#,13.735,21.735,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.5,90.83,12,-8,#,-8.036875,#,13.977,21.977,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.45,90.31,15,-8,#,-8.046625,#,14.278,22.278,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.41,88.84,18,-8,#,-8.0045,#,12.632,20.632,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.28,96.23,6,-7,#,-7.043188,#,15.349,22.349,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.76,92.88,9,-7,#,-7.048625,#,14.598,21.598,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.56,91.72,12,-7,#,-7.048875,#,14.826,21.826,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.46,91,15,-7,#,-7.061625,#,15.128,22.128,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.43,89.33,18,-7,#,-7.0265,#,13.567,20.567,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.39,97.42,6,-6,#,-6.040188,#,15.851,21.851,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.86,94.11,9,-6,#,-6.048625,#,15.369,21.369,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.58,92.77,12,-6,#,-6.048875,#,15.613,21.613,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.46,91.82,15,-6,#,-6.055625,#,15.92,21.92,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.44,89.85,18,-6,#,-6.0205,#,14.5,20.5,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.49,98.26,6,-5,#,-5.049188,#,16.139,21.139,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.93,95.33,9,-5,#,-5.058625,#,15.982,20.982,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.61,94.09,12,-5,#,-5.077875,#,16.235,21.235,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.47,92.88,15,-5,#,-5.063625,#,16.571,21.571,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.46,90.55,18,-5,#,-5.0275,#,15.393,20.393,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.33,98.8,6,-4,#,-4.037188,#,16.229,20.229,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.04,96.39,9,-4,#,-4.065625,#,16.452,20.452,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.63,95.92,12,-4,#,-4.064875,#,16.732,20.732,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.48,94.34,15,-4,#,-4.073625,#,17.081,21.081,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.46,91.47,18,-4,#,-4.0265,#,16.228,20.228,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.8,99.08,6,-3,#,-3.004188,#,16.225,19.225,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.24,96.97,9,-3,#,-3.039625,#,16.786,19.786,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.72,98.15,12,-3,#,-3.041875,#,17.103,20.103,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.51,96.26,15,-3,#,-3.065625,#,17.49,20.49,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.52,92.78,18,-3,#,-3.0375,#,16.918,19.918,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,39.93,98.79,6,-2,#,-1.984188,#,16.282,18.282,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.41,97.14,9,-2,#,-2.027625,#,17.03,19.03,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.77,100.55,12,-2,#,-2.038875,#,17.392,19.392,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.56,98.37,15,-2,#,-2.054625,#,17.828,19.828,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.51,94.45,18,-2,#,-2.0205,#,17.505,19.505,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,38.86,97.69,6,-1,#,-0.953188,#,16.467,17.467,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.69,96.84,9,-1,#,-1.025625,#,17.216,18.216,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.91,102.81,12,-1,#,-1.048875,#,17.6,18.6,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.6,100.88,15,-1,#,-1.050625,#,18.106,19.106,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.57,96.38,18,-1,#,-1.0165,#,18,19,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,37.56,95.78,6,0,#,0.130812,#,16.746,16.746,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,42.01,96.01,9,0,#,-0.012625,#,17.366,17.366,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.03,105,12,0,#,-0.036875,#,17.75,17.75,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.67,103.73,15,0,#,-0.050625,#,18.322,18.322,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.58,98.54,18,0,#,-0.0085,#,18.418,18.418,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,36.15,93.88,6,1,#,1.166812,#,16.975,15.975,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,42.41,94.63,9,1,#,1.014375,#,17.499,16.499,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.24,107.21,12,1,#,0.985125,#,17.856,16.856,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.8,107.02,15,1,#,0.961375,#,18.514,17.514,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.65,101.16,18,1,#,1.0055,#,18.753,17.753,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,34.57,92.42,6,2,#,2.180812,#,17.148,15.148,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,42.84,92.88,9,2,#,2.025375,#,17.601,15.601,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,41.55,109.25,12,2,#,1.998125,#,17.944,15.944,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.92,110.53,15,2,#,1.974375,#,18.673,16.673,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB12,4,#,#,#,40.71,104.24,18,2,#,2.0305,#,19.028,17.028,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.42,89.49,6,-13,#,-13.01819,#,10.196,23.196,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.4,88.42,9,-13,#,-12.97162,#,9.157,22.157,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.31,88.37,12,-13,#,-13.01988,#,9.415,22.415,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.25,88.24,15,-13,#,-13.03063,#,9.682,22.682,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.2,87.62,18,-13,#,-13.0115,#,7.836,20.836,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.54,90.18,6,-12,#,-12.00619,#,11.162,23.162,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.36,88.94,9,-12,#,-11.96663,#,10.143,22.143,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.3,88.69,12,-12,#,-11.96188,#,10.439,22.439,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.21,88.5,15,-12,#,-12.01462,#,10.675,22.675,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.19,87.75,18,-12,#,-11.9935,#,8.846,20.846,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.61,91.01,6,-11,#,-11.01119,#,12.115,23.115,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.39,89.51,9,-11,#,-10.97263,#,11.103,22.103,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.32,89.13,12,-11,#,-10.98387,#,11.382,22.382,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.22,88.85,15,-11,#,-11.04563,#,11.607,22.607,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.2,87.99,18,-11,#,-10.9865,#,9.819,20.819,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.69,92.03,6,-10,#,-10.03919,#,13.012,23.012,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.44,90.12,9,-10,#,-10.03262,#,11.996,21.996,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.31,89.59,12,-10,#,-10.03087,#,12.277,22.277,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.22,89.25,15,-10,#,-10.05463,#,12.534,22.534,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.22,88.2,18,-10,#,-9.9895,#,10.796,20.796,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.83,93.33,6,-9,#,-9.033188,#,13.906,22.906,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.46,90.92,9,-9,#,-9.029625,#,12.944,21.944,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.33,90.21,12,-9,#,-9.027875,#,13.213,22.213,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.23,89.78,15,-9,#,-9.040625,#,13.478,22.478,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.22,88.53,18,-9,#,-8.9905,#,11.771,20.771,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.95,94.86,6,-8,#,-8.035188,#,14.709,22.709,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.52,91.9,9,-8,#,-8.042625,#,13.838,21.838,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.33,90.97,12,-8,#,-8.038875,#,14.102,22.102,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.27,90.41,15,-8,#,-8.043625,#,14.38,22.38,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.21,88.88,18,-8,#,-7.9975,#,12.723,20.723,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,42.12,96.29,6,-7,#,-7.038188,#,15.349,22.349,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.56,93.05,9,-7,#,-7.045625,#,14.691,21.691,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB13,4,#,#,#,41.38,91.84,12,-7,#,-7.051875,#,14.947,21.947,#,#,#,#,#,#,#,#,#,#,#
